name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"TheBakers- Best No Fondant-Customised Cakes","Beverly Park-1, 608B, Mehrauli-Gurgaon Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Sarhol, Haryana 122009","096508 57405","https://thebakers.in/best-customised-cakes-in-gurgaon/","4.8","4","Cake shop","Wednesday10 am–8 pmSuggest new hours","","false","https://www.google.com/maps/place/TheBakers-+Best+No+Fondant-Customised+Cakes/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d1918d49f746f:0xa9f41f123483fcfd!8m2!3d28.4780914!4d77.0774358!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQljYWtlX3Nob3DgAQA!16s%2Fg%2F11f3zxrzjs"
"Creme Castle","Ground Floor, Shop, DLF City, Sikanderpur, DLF Phase 1, Sector 24, Gurugram, Haryana 122002","085888 13880","https://cremecastle.in/collections/bakery-cake-shop-gurgaon","4.6","4","Cake shop","Wednesday7 am–12 amSuggest new hours","","false","https://www.google.com/maps/place/Creme+Castle/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19677df200ff:0x84e977efce4dc8ae!8m2!3d28.4826107!4d77.1007718!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQljYWtlX3Nob3DgAQA!16s%2Fg%2F11ll328mv8"
"The Cakecity Patisserie","A212, Upper Ground Floor, DLF, Supermart-1, DLF Phase IV, Gurugram, Haryana 122009","077770 17017","http://www.cakecity.in/","3.7","3","Bakery and Cake Shop","Wednesday10 am–2 amSuggest new hours","","false","https://www.google.com/maps/place/The+Cakecity+Patisserie/@28.4596543,77.0411006,14z/data=!3m1!5s0x390d18c2847341d9:0x3b29394e1a4f1772!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d18de70290275:0x9543f0b0ecbd5e8f!8m2!3d28.4623188!4d77.0870799!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11c44k974v"
"Bakefé Bakery","Shop No 11, Ground Floor, Vakil market, Chanderlok, DLF City IV, Gurugram, Haryana 122002","098705 55330","","4.8","4","Bakery and Cake Shop","","","false","https://www.google.com/maps/place/Bakef%C3%A9+Bakery/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x8a556b65a6bcdfe1:0x6557a1d7766d3544!8m2!3d28.4736324!4d77.0804468!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11s1w609nm"
"Sibang Bakery","Shop No 108, South Point Mall, Golf Course Road, DLF Phase 5, Sector 53 Gurugram, Haryana 122002 First Floor 310, Sanjay Maurya Sco100 Marg, Sushant Lok 2, Sector 55, Gurugram, Haryana 122011","098112 68210","https://linktr.ee/sibangbakery","4.3","4","Bakery and Cake Shop","Wednesday9 am–8:30 pm","","false","https://www.google.com/maps/place/Sibang+Bakery/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d18b45039648d:0x61616f81a788b31b!8m2!3d28.4479469!4d77.0989628!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11bbw_jv5k"
"Sugar Swap - Deliciously Keto","C-432, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098995 95044","https://sugarswap.in/","4.7","4","Health food store","Wednesday10 am–10 pmSuggest new hours","","false","https://www.google.com/maps/place/Sugar+Swap+-+Deliciously+Keto/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19503e2327e7:0x12a403f3da382996!8m2!3d28.4549439!4d77.0828254!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSARFoZWFsdGhfZm9vZF9zdG9yZeABAA!16s%2Fg%2F11h75pkdys"
"Sibang Bakery","First floor shop no.134, Dt Mega Mall, Saraswati Vihar, DLF Phase 1, Gurugram, Haryana 122002","0124 436 5953","","4.5","4","Bakery and Cake Shop","Wednesday10 am–9 pmSuggest new hours","","false","https://www.google.com/maps/place/Sibang+Bakery/@28.4596543,77.0411006,14z/data=!3m1!5s0x390d192850029ce7:0x860ae9721aa70af5!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19285a5bf859:0x4ef53c2a243481c2!8m2!3d28.4758603!4d77.093049!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11g8pbr64x"
"Fifth Avenue Cafe And Bakery","32, milestones, Delhi - Jaipur Expy, Sector 15 Part 2, Sector 15, Gurugram, Haryana 122001","079823 65052","","4.1","4","Bakery and Cake Shop","","","false","https://www.google.com/maps/place/Fifth+Avenue+Cafe+And+Bakery/@28.4596543,77.0411006,14z/data=!3m1!5s0x390d1851aba0744b:0x9fba7a2fa250c348!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d1906e1792fcb:0x26d78931e3943520!8m2!3d28.4617436!4d77.0501931!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11gwjln_b0"
"Cake Innovation","Ground Floor, 56-L NEW 253A/10, CIRCULAR ROAD, Dr, Jai Dayal Soota Marg, New Colony, Gurugram, Haryana 122001","0124 420 3757","http://cakeinnovation.in/","4.1","4","Cake shop","Wednesday10 am–9 pmSuggest new hours","","false","https://www.google.com/maps/place/Cake+Innovation/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19d360ea98b7:0xbc38c954a0c7a0a7!8m2!3d28.4672135!4d77.0177194!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQljYWtlX3Nob3DgAQA!16s%2Fg%2F12hx9tq7h"
"Harish Bakery","33, Block B, Sector 56, Gurugram, Haryana 122011","095606 08422","http://www.harishbakery.com/","4.1","4","Bakery and Cake Shop","Wednesday8 am–10:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Harish+Bakery/@28.4672135,76.9796106,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d23d8500eb083:0x92ce2aef6e905d71!8m2!3d28.4280448!4d77.099659!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11hz165l2f"
"Mekabi Bakehouse & Gifting Studio","Heritage City, Sector 25, Gurugram, Sarhol, Haryana 122002","","https://www.mekabibakehouse.com/","5","5","Bakery and Cake Shop","Wednesday11 am–6 pmSuggest new hours","","false","https://www.google.com/maps/place/Mekabi+Bakehouse+%26+Gifting+Studio/@28.4280448,77.0615502,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19161c636a11:0x510d2608b00d4ebe!8m2!3d28.482125!4d77.0786199!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11ywy1pg2q"
"THEOS CYBERHUB GURGAON","UGF/B, Unit 2B, Ground Floor, Tower 10, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002","087502 32226","http://www.theosfood.com/","4.1","4","Bakery and Cake Shop","Wednesday9 am–11 pmSuggest new hours","","false","https://www.google.com/maps/place/THEOS+CYBERHUB+GURGAON/@28.482125,77.0405111,14z/data=!3m1!5s0x39995cdcd345e085:0x965afe2a5e529c2a!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d197b1254d2e3:0x5cfd2f15925e36f3!8m2!3d28.4937824!4d77.08832!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11j8n7d43g"
"FES Cafe & Desserts","SF-07, 10, I floor, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","0124 411 6976","http://www.fescafe.in/","4.2","4","Cafe","Wednesday9 am–12 amSuggest new hours","","false","https://www.google.com/maps/place/FES+Cafe+%26+Desserts/@28.482125,77.0405111,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19c97d72c3d7:0x6a1abbbf699d1a3!8m2!3d28.46716!4d77.0818519!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQRjYWZl4AEA!16s%2Fg%2F11j029lsdf"
"Samrat","Central Arcade, 4, Dakshin Marg, DLF Phase 2, Sector 25, Gurugram, Sarhol, Haryana 122002","0124 238 8793","http://www.samratcake.com/","3.9","3","Bakery and Cake Shop","Wednesday9 am–10:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Samrat/@28.482125,77.0405111,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19248fada363:0xd9d9b67469297d02!8m2!3d28.4817562!4d77.0862961!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F1thw0k69"
"Chaayos Cafe at ROF Portico","1540, 1548, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","1800 120 2424","https://www.chaayos.com/","4.4","4","Cafe","Wednesday8 am–11 pmSuggest new hours","","false","https://www.google.com/maps/place/Chaayos+Cafe+at+ROF+Portico/@28.482125,77.0405111,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d197a61e951df:0xf203365993b82938!8m2!3d28.4530527!4d77.0824365!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQRjYWZl4AEA!16s%2Fg%2F11fskdf2fg"
"The Cake Company,","A-55/13-14, Sector 28, DLF Phase 1, Sector 26, Gurugram, Haryana 122002","096500 80235","","4.1","4","Cake shop","Wednesday10 am–11:30 pmSuggest new hours","","false","https://www.google.com/maps/place/The+Cake+Company,/@28.482125,77.0405111,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d18d7e7715557:0x7b99c6ec2dabf947!8m2!3d28.4731742!4d77.0923361!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQljYWtlX3Nob3DgAQA!16s%2Fg%2F11gbz1876b"
"Nush Mush","Last Course Hospitality LLP Shop No 1 Plot 3807, DLF Phase 4, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122002","070650 59225","http://nushmush.in/","4.7","4","Bakery and Cake Shop","","","false","https://www.google.com/maps/place/Nush+Mush/@28.482125,77.0405111,14z/data=!3m1!5s0x390d18e0760f8ad7:0x1228cb8e0e8b890f!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d1927dd5aa655:0x36083afb46b86b61!8m2!3d28.4706161!4d77.0792916!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNVkJsUTJwM1JSQULgAQD6AQQIOxAu!16s%2Fg%2F11jv98j3vq"
"Cafe Dakia","ROF PORTICO I, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088820 06127","","4.5","4","Pizza restaurant","","","false","https://www.google.com/maps/place/Cafe+Dakia/@28.482125,77.0405111,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d190d7c39decd:0x1d395eb697c73267!8m2!3d28.4529153!4d77.0821121!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSARBwaXp6YV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQYkU5MVdFNTNFQUXgAQD6AQQIKxA0!16s%2Fg%2F11q30vll7m"
