name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Wadhwa house gurgaon","1056, Road, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","","0","Housing society","","","false","https://www.google.com/maps/place/Wadhwa+house+gurgaon/@28.4084338,77.061123,16z/data=!3m1!5s0x390d18eac612929f:0xc215fd4c626cb629!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d199e4b151be9:0xca19e53709cac83a!8m2!3d28.4553273!4d77.0910321!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSAQ9ob3VzaW5nX3NvY2lldHngAQA!16s%2Fg%2F11scqt2c_7"
"Vipul Square","Sushant Lok Rd, near Vipul Square, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","0124 406 5500","http://www.vipulgroup.in/project/vipul-square","4.1","4","Corporate office","Wednesday9 am–6 pm","","false","https://www.google.com/maps/place/Vipul+Square/@28.4084338,77.061123,16z/data=!3m1!5s0x390d18eac612929f:0xc215fd4c626cb629!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18e787f98d13:0xa4a14c4cccf7c450!8m2!3d28.4645277!4d77.079039!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEQY29ycG9yYXRlX29mZmljZeABAA!16s%2Fg%2F1tflktst"
"Sunny Associates","C - 224, UGF, Sushant shopping arcade, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098104 91457","","4.8","4","Real estate consultant","Wednesday9 am–8 pm","","false","https://www.google.com/maps/place/Sunny+Associates/@28.4645277,77.0695118,16z/data=!3m1!5s0x390d18e7637a97c7:0x76be5c992bcb183f!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d194dbe988539:0x4873d1987c283776!8m2!3d28.4604814!4d77.0795231!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F11xfpplz9t"
"Sujjan Vihar CGHS, Gurugram","SUJJAN VIHAR, Block A, Sector 43, Gurugram, Haryana 122009","","","4.6","4","Housing society","","","false","https://www.google.com/maps/place/Sujjan+Vihar+CGHS,+Gurugram/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19e2897b79ef:0xbb48399d5163b40!8m2!3d28.4526327!4d77.0778438!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEPaG91c2luZ19zb2NpZXR5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJQYWxCZmNubFJSUkFC4AEA-gEECAAQLw!16s%2Fg%2F11qngq5dgy"
"InstaSpaces","6th Floor, Unitech Trade Center, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088827 02020","http://www.instaspaces.in/","4.9","4","Virtual office rental","WednesdayOpen 24 hours","","false","https://www.google.com/maps/place/InstaSpaces/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d190b899cfae3:0x186247875ba817ce!8m2!3d28.458821!4d77.0771323!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEVdmlydHVhbF9vZmZpY2VfcmVudGFsmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxb2RGSXpWWHBqZWxKVFUxY3hZVmRWTlhKTk1uUm1VMnN4Tm1SWFl4QULgAQD6AQQIABBD!16s%2Fg%2F11cm8c4l5t"
"Aman Puri Gurgaon","615, B Block, Sushant Lok Phase I, Gurugram, Haryana 122009","","","5","5","Housing society","","","false","https://www.google.com/maps/place/Aman+Puri+Gurgaon/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d192155cc7699:0x59a4c5837b932525!8m2!3d28.4634767!4d77.0749052!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEPaG91c2luZ19zb2NpZXR54AEA!16s%2Fg%2F11jclnkf8d"
"Sushant Apartments","Phase I, C/1950, opposite Gold Souk, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","4.3","4","Apartment building","Wednesday6 am–9:30 pm","","false","https://www.google.com/maps/place/Sushant+Apartments/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c023202dcf:0xeba01d174d6a1b3a!8m2!3d28.4508086!4d77.0799628!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgESYXBhcnRtZW50X2J1aWxkaW5nmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5zZHpacWMzSlJSUkFC4AEA-gEECAAQNA!16s%2Fg%2F11bx5p3xbt"
"Landmark Avenue","Plot 2842A, Block, C1, Sushant Lok Rd, Phase -1, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","4.4","4","Building society","","","false","https://www.google.com/maps/place/Landmark+Avenue/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c73853c6c3:0xba7fe324ed296a9c!8m2!3d28.4517874!4d77.0866867!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEQYnVpbGRpbmdfc29jaWV0eZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeGF6Y3lTSGxuUlJBQuABAPoBBAg4EBk!16s%2Fg%2F11clyzpn8q"
"The IVY apartment","Phase I, Sector 28, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","4.4","4","Apartment complex","Wednesday9:30 am–7 pm","","false","https://www.google.com/maps/place/The+IVY+apartment/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19285ac62a5d:0x1d586c1b34282eef!8m2!3d28.4711739!4d77.0794006!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgERYXBhcnRtZW50X2NvbXBsZXiaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjRkbU5MVUZKM0VBReABAPoBBAgAEB4!16s%2Fg%2F12jsfy_4n"
"Value Advisors (Real Estate Consultant)","Office 219, Block H, UGF Sushant Shopping Arcade, near The Palms Town & Country Club, B Block, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002","097115 57979","http://www.valueadvisors.in/","5","5","Real estate consultant","Wednesday10 am–7 pm","","false","https://www.google.com/maps/place/Value+Advisors+(Real+Estate+Consultant)/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19f9c0d69acb:0xd31c0c9cec47de81!8m2!3d28.4598623!4d77.0767726!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F11g0hsqlsz"
